# Manually-verified baseline spec-id overrides.
#
# WHY THIS FILE EXISTS: WoW's own data model has no "spec membership" table for spells —
# see wow-spell-data-model.md and CLAUDE.md's "Baseline ability display" section for the
# full story. A baseline (never-a-talent) spell's spell_class_availability row is either
# explicitly spec-tagged (when Blizzard's own export states a restriction, e.g. a
# free=(...) annotation) or spec_id=NULL — and NULL is structurally ambiguous: it means
# "genuinely available to every spec of this class" for some spells (Leg Sweep) and
# "actually spec-restricted, but the source data just never says so" for others (Mind
# Sear, on Discipline Priest — confirmed leaking this exact way on 2026-08-06). There is
# no reliable way to tell these apart from the data alone.
#
# This file is the deliberate alternative to guessing: a hand-curated, one-at-a-time list
# of (spell, class, spec) facts, each one verified before being added — never bulk-derived,
# never auto-generated. Every entry here becomes an EXPLICIT spec_id row (source =
# 'verified_override'), added ALONGSIDE any existing spec_id=NULL row for the same spell —
# never replacing it. Read by TalentSelectionService::verifiedBaselineAbilityIds(), the only
# safe display path for baseline abilities (see that method's docblock — it ONLY reads
# source='verified_override' rows, never the ambiguous spec_id=NULL bucket).
#
# Format: spell_id | class_slug | spec_slug | name (comment only, not parsed)
# class_slug matches classes.slug; spec_slug matches specializations.slug (both
# Str::slug()'d at import time — "Beast Mastery" -> "beast-mastery").
#
# Adding a new line here is a real claim about the live game, not a data-cleanup nit —
# verify it (in-game, a real spellbook export, or equally solid evidence) before adding.

119381 | monk | windwalker | Leg Sweep
119909 | warlock | destruction | Seduction (Command Demon)

# Singe Magic (Imp's dispel — "burns harmful spells, removing 1 harmful Magic effect from an
# ally") — same Command Demon pattern as the other 3 pet abilities above, same reasoning: the
# Imp is ungated (source=baseline, no talent, no spec restriction), so its ability is multi-
# spec. User-reported missing from the Spells page 2026-08-17, confirmed via real arena-log
# cast evidence (wow:diff-arena-spells flagged a variant spell_id, 132411, as cast by real
# Demonology players but MISSING_ENTIRELY from spells — a separate raw-import gap, not fixable
# here; this line covers the spell_id that DOES exist in our data, 89808, the one carrying the
# real 15s cooldown).
89808 | warlock | affliction | Singe Magic (Command Demon)
89808 | warlock | demonology | Singe Magic (Command Demon)
89808 | warlock | destruction | Singe Magic (Command Demon)
187650 | hunter | survival | Freezing Trap
853 | paladin | holy | Hammer of Justice
853 | paladin | protection | Hammer of Justice
853 | paladin | retribution | Hammer of Justice

# Rogue, added 2026-08-08. Kidney Shot is a core finisher genuinely available to all 3 specs
# (Assassination/Outlaw/Subtlety), long-standing stable game design. Two spell_id copies exist
# in the dataset for the same ability (408 carries the real 30s cooldown + Stun mechanic;
# 426589 has neither). CORRECTED 2026-08-10: the original entry covered BOTH copies for all 3
# specs on the mistaken belief this matched Freezing Trap's multi-copy precedent above — it
# doesn't. Freezing Trap's multiple lines cover the SAME real spell_id across different SPECS;
# this instead added two DIFFERENT spell_ids for the SAME specs, which rendered as two visible
# rows for one ability (a real duplicate, confirmed live). 426589 removed — it carries no real
# data and was never actually a second copy worth surfacing. See ImportSpellData's new
# duplicate-override warning, added the same day specifically so this mistake can't ship
# silently again.
408 | rogue | assassination | Kidney Shot
408 | rogue | outlaw | Kidney Shot
408 | rogue | subtlety | Kidney Shot

# Demon Hunter / Evoker, added 2026-08-07 after confirming the identity-passive-link
# signal (spell_relationships from e.g. "Havoc Demon Hunter") is NOT reliable evidence of
# spec membership — re-confirmed the same failure mode already documented for Mind Sear:
# Blade Dance and Death Sweep (100% Havoc-exclusive by long-standing game design, never on
# Vengeance in any expansion) both showed spurious links to Havoc, Vengeance, AND Devourer
# identity passives. That signal was discarded entirely for this batch; every line below is
# verified from established, stable game design (these abilities have held the same spec
# assignment across multiple expansions) plus each spell's own description text, not from
# any structural signal in the data. Devourer (Demon Hunter's new third spec, first seen in
# this dataset's "Midnight"/12.0 patch) is deliberately NOT covered here — it postdates
# reliable general knowledge, so nothing about its kit is added on assumption; see
# CLAUDE.md's "whole specs whose core kit is almost entirely baseline" note.
198013 | demonhunter | havoc | Eye Beam
188499 | demonhunter | havoc | Blade Dance
210152 | demonhunter | havoc | Death Sweep
247938 | demonhunter | havoc | Chaos Blades
344866 | demonhunter | havoc | Vengeful Retreat
200166 | demonhunter | havoc | Metamorphosis
185123 | demonhunter | havoc | Throw Glaive
# Fel Rush deliberately NOT added — spell_id 195072 already had an explicit spec_id=Havoc
# baseline tag before this batch (pre-existing, correct); adding 344865 (a separate
# spell_id, same name) as a second override produced a literal duplicate row on the
# rendered page. Caught and reverted during 2026-08-07 verification.
212084 | demonhunter | vengeance | Fel Devastation
209245 | demonhunter | vengeance | Fiery Brand
214743 | demonhunter | vengeance | Soul Carver

# Shared Havoc + Vengeance baseline utility (both specs get these identically — confirmed
# from established Sigil-system/Immolation Aura design, not the unreliable identity-link
# signal). Sigil of Misery is the disorient CC the 2026-08-07 request specifically asked
# to track.
258920 | demonhunter | havoc | Immolation Aura
258920 | demonhunter | vengeance | Immolation Aura
207684 | demonhunter | havoc | Sigil of Misery
207684 | demonhunter | vengeance | Sigil of Misery
204843 | demonhunter | havoc | Sigil of Chains
204843 | demonhunter | vengeance | Sigil of Chains
183752 | demonhunter | havoc | Disrupt
183752 | demonhunter | vengeance | Disrupt

# Evoker, added 2026-08-07. Hover is baseline movement utility shared identically by all
# three specs since Evoker's launch. Time of Need is Preservation's signature healing
# cooldown. Devastation/Augmentation's other headline cooldowns (Dragonrage, Fire Breath,
# Fury of the Aspects, etc.) were checked and NOT added — their cooldown data isn't
# populated on any baseline copy in this dataset (all blank), so there's nothing yet to
# verify a number against; flagged rather than guessed.
358267 | evoker | devastation | Hover
358267 | evoker | preservation | Hover
358267 | evoker | augmentation | Hover
368415 | evoker | preservation | Time of Need

# Living Flame, added 2026-08-09 investigating "hardly any spells for Evoker" (see
# CLAUDE.md). Confirmed genuinely available to all 3 specs directly from the spell's own
# data — its detailed record (361469, "(desc=Red)") lists separate per-spec Resource costs
# for Preservation/Devastation/Augmentation explicitly, the strongest confirmation signal
# used anywhere in this file so far. Uses 364664 (not 361469) as the target id — it's the
# clean-named wrapper record whose own description is a `$@spelldesc361469` pointer (same
# structural pattern as Angelic Bulwark elsewhere in this codebase), so the displayed name
# reads "Living Flame", not "Living Flame (desc=Red)".
#
# Investigating this also found that most of Evoker's other apparently-missing signature
# spells (Pyre, Dragonrage, Eternity Surge, Dream Breath, Ebon Might, Upheaval) were never a
# baseline-visibility problem at all — they're real talents, just never picked in the admin
# default builds, AND murlok import was silently failing to match nearly all of Evoker's kit
# due to its "(desc=Color)" naming convention (see MurlokTalentImportService::
# normalizeSpellName(), fixed same day). Fixed via re-running wow:import-murlok-defaults for
# all 3 specs, not via this file. Fire Breath/Disintegrate/Deep Breath are confirmed genuinely
# baseline (no Talent Entry line) but deliberately NOT added here yet — unlike Living Flame,
# none of their records carry an explicit per-spec Resource confirmation, and general
# knowledge alone isn't a strong enough signal per this file's own standard; flagged as a
# remaining gap, not guessed.
364664 | evoker | devastation | Living Flame
364664 | evoker | preservation | Living Flame
364664 | evoker | augmentation | Living Flame

# Priest (Shadow), added 2026-08-08. Re-derives a batch a prior session had already verified by
# reading each spell's own description text — that verification only ever became a one-off manual
# spell_class_availability UPDATE, which the same-day patch-crash-and-reimport (see CLAUDE.md)
# wiped, since nothing in the importer derives it. Re-verified fresh against the current DB rather
# than trusted from memory, which caught two real corrections along the way:
# - Divine Star has 6 separate spell_id copies; only 122121's own description says "Shadow
#   damage" (the rest say "Holy damage", including 110744, the copy a broader query surfaced
#   first). Using the wrong copy would have mistagged a Holy ability as Shadow.
# - Mindbender turned out to be two genuinely different spells sharing one name: 200174 ("...
#   Generates ... Insanity") is Shadow's version; 123040 ("... Generates ... Mana") is
#   Discipline's Atonement-flavored version, confirmed by a Discipline-only talent
#   ("Evangelism") referencing it directly. Both added below, to their correct spec.
# Void Shield (1253593) was checked and deliberately NOT added — its own description has no
# Shadow/Insanity signal at all; flagged as uncertain rather than guessed.
63619 | priest | shadow | Shadowcrawl
108968 | priest | shadow | Void Shift
122121 | priest | shadow | Divine Star
194249 | priest | shadow | Voidform
199579 | priest | shadow | Hallucinations
200174 | priest | shadow | Mindbender
123040 | priest | discipline | Mindbender
205448 | priest | shadow | Void Bolt
391109 | priest | shadow | Dark Ascension
394976 | priest | shadow | Mind Sear
400169 | priest | shadow | Dark Reprimand
450983 | priest | shadow | Void Blast
451235 | priest | shadow | Voidwraith
1242173 | priest | shadow | Void Volley

# Death Knight, added 2026-08-09. Anti-Magic Shell is a core, all-3-spec DK defensive
# cooldown, long-standing stable game design (self-cast magic-damage absorb + Runic Power
# generation). Confirmed real via its own description text: 5 spell_id copies exist for this
# name, all class_id=Death Knight/spec_id=NULL/source=baseline — 48707 is the genuine
# self-cast player-facing ability (description "Surrounds YOU in an Anti-Magic Shell...",
# cd=60s); 49088 is an internal proc-description duplicate referencing 48707 (no cd);
# 451777 is not_in_spellbook (hidden). A separate pair (444740/444741, "Surrounds YOUR
# TARGET...") describes what looks like a distinct target-cast variant — deliberately NOT
# added here, since its provenance (new talent? hero tree?) isn't confirmed the way the
# self-cast version's is; flag for a future pass rather than guess.
48707 | deathknight | blood | Anti-Magic Shell
48707 | deathknight | frost | Anti-Magic Shell
48707 | deathknight | unholy | Anti-Magic Shell

# Mage, added 2026-08-10. Frost Nova is a core, all-3-spec baseline Mage ability (AoE root),
# long-standing stable game design since the game's earliest expansions. Confirmed via its own
# data: Charges/cooldown (1 charge, 30s) matches the DB exactly, and its own "Affecting Spells"
# line lists all three spec-identity passives (Fire Mage/Frost Mage/Arcane Mage) as modifiers —
# consistent with genuine class-wide availability (this structural signal alone isn't trusted
# for spec-RESTRICTION per the Mind Sear precedent above, but combined with well-established
# general knowledge here it's a normal confirmation, not the sole basis for the claim). A
# second, hidden (not_in_spellbook) copy (235235) exists and was not used.
122 | mage | arcane | Frost Nova
122 | mage | fire | Frost Nova
122 | mage | frost | Frost Nova

# Druid, added 2026-08-10. Barkskin is a core, all-4-spec baseline defensive (flat damage
# reduction, no mana/rage/energy cost), long-standing stable game design since Vanilla —
# genuinely available to Balance/Restoration/Feral/Guardian alike, not spec-restricted like
# most other defensives in this file. Confirmed via its own data: single spell_id, real
# cooldown (60s), class_id=Druid/spec_id=NULL/source=baseline — same confidence tier as
# Hammer of Justice/Frost Nova above.
22812 | druid | balance | Barkskin
22812 | druid | restoration | Barkskin
22812 | druid | feral | Barkskin
22812 | druid | guardian | Barkskin

# Mage, backfilled 2026-08-11. Polymorph was already correctly rendering live on all 3 Mage
# specs — verified_override rows for spell_id 118 already existed in the DB — but this file
# never had a matching line, meaning a future migrate:fresh + re-import would have silently
# dropped it (same class of gap as other one-off manual DB corrections documented elsewhere in
# this file). Backfilled here rather than left implicit. Confirmed real: base Polymorph is a
# core, all-3-spec baseline Mage ability with no cooldown, long-standing stable game design.
# Note: spell_id 118's own scalar fields (cast_type, etc.) are stale in the DB — this specific
# spell_id no longer appears anywhere in the current filtered dumps' class-record path, so the
# main import loop never revisits its own fields, only spell_class_availability via this file.
118 | mage | arcane | Polymorph
118 | mage | fire | Polymorph
118 | mage | frost | Polymorph

# Interrupts, added 2026-08-11 alongside the Synergies tab's new is_interrupt flag. Kick,
# Counterspell, and Pummel are each their class's single, universally-known baseline interrupt —
# long-standing, all-spec, stable game design since the game's earliest expansions (not a
# judgment call the way chain_target assignments have been elsewhere in this file). Solar Beam is
# the one exception: it's Balance-specific (an AoE silence/interrupt tied to the Balance kit),
# not a Restoration/Feral/Guardian ability, so it's deliberately NOT added for the other 3 Druid
# specs. Confirmed via each spell's own data: single real (non-hidden) copy, real cooldown
# matching known live values (Kick 15s, Counterspell 25s, Pummel 15s, Solar Beam 60s).
1766 | rogue | assassination | Kick
1766 | rogue | outlaw | Kick
1766 | rogue | subtlety | Kick
2139 | mage | arcane | Counterspell
2139 | mage | fire | Counterspell
2139 | mage | frost | Counterspell
6552 | warrior | arms | Pummel
6552 | warrior | fury | Pummel
6552 | warrior | protection | Pummel
97547 | druid | balance | Solar Beam

# Rogue, added 2026-08-12. Feint is a core, all-3-spec baseline defensive (reduces AoE damage
# taken), long-standing stable game design — same confidence tier as Kick/Cheap Shot above.
# Confirmed via its own data: single spell_id, real cooldown (15s), class_id=Rogue/spec_id=NULL/
# source=baseline — the same ambiguous-bucket shape as every other entry in this file.
1966 | rogue | assassination | Feint
1966 | rogue | outlaw | Feint
1966 | rogue | subtlety | Feint

# Rogue, added 2026-08-12, CORRECTED same day. Garrote is Assassination-only — confirmed wrong
# the first time this was added: the initial entry assumed "core opener, must be all 3 specs"
# and added Outlaw/Subtlety too, without verifying against actual game knowledge first. The
# domain expert corrected this directly ("outlaw and sub dont have garrote") — the two incorrect
# lines were removed, along with the spell_class_availability rows they had already written (the
# importer is additive-only and never deletes, so removing the file lines alone wouldn't have
# undone the bad rows — see the one-off cleanup query this correction required).
# What was still real and worth keeping: the raw data already had an explicit spec_id=30
# (Assassination) row for Garrote (spell_id 703, cd=6s — a second spell_id 360830 copy has no
# cooldown data and is not the real one), but that pre-existing row is source='baseline', which
# verifiedBaselineAbilityIds() never reads (only source='verified_override' is trusted), and
# Garrote's 6s cooldown doesn't clear explicitBaselineCooldownAbilityIds()'s >=10s bar either —
# so the pre-existing row was silently dead data, invisible on every display path, regardless of
# which specs it should cover. This one line fixes that visibility gap for the one spec Garrote
# actually belongs to.
703 | rogue | assassination | Garrote
# Same gap, found 2026-08-23 building wow:cc-formula ("does it chain garrote kidney" surfaced
# that Garrote never appeared in Assassination's pool at all): 703 above is the base bleed DoT,
# not the real Silence effect — that's a SEPARATE spell_id, 1330 "Garrote - Silence" (see
# CLAUDE.md's Garrote dr_category fix, 2026-08-22 — 703's own dr_category was cleared that day
# specifically because it measures the bleed's lifetime, not the silence). Fixing 703's
# visibility here never touched 1330's — this line closes that second, independent gap.
1330 | rogue | assassination | Garrote - Silence

# Rogue, added 2026-08-11. Cheap Shot is a core, all-3-spec baseline stealth-opener stun
# (Assassination/Outlaw/Subtlety), same confidence tier and same class as Kidney Shot above
# (both core Rogue finishers/openers, long-standing stable game design). Surfaced by the
# Synergies tab's RMP verification: Cheap Shot was correctly dr_category=Stun/chain_target=
# kill_target but structurally invisible (source=baseline, spec_id=NULL) until this entry.
1833 | rogue | assassination | Cheap Shot
1833 | rogue | outlaw | Cheap Shot
1833 | rogue | subtlety | Cheap Shot

# Rogue, added 2026-08-13. Smoke Bomb is a core, all-3-spec baseline utility (stealth/vision-
# blocking AoE), long-standing stable game design. Confirmed via its own data: real cooldown
# (180s) matches known live values, single non-hidden baseline copy (76577), class_id=Rogue/
# spec_id=NULL/source=baseline — same ambiguous-bucket shape as every other entry in this file.
# Two other spell_id copies exist (88611 — a linked damage-reduction-aura sub-effect referenced
# by 76577's own description via $88611s2, no cooldown of its own; 212182/359053 — PvP-talent-
# sourced copies with no cooldown data) — neither used here; 76577 is the real player-facing
# ability.
76577 | rogue | assassination | Smoke Bomb
76577 | rogue | outlaw | Smoke Bomb
76577 | rogue | subtlety | Smoke Bomb

# Batch added 2026-08-14, sourced from wow:diff-spellbook's new Direction D (see DiffSpellbook.php's
# own docblock) — cross-referencing 8 real character spellbook exports (one per class: Hunter/BM,
# Mage/Frost, Druid/Feral, Priest/Disc, Rogue/Assassination, Paladin/Holy, Shaman/Restoration,
# Warrior/Arms) against the whole spec_id=NULL baseline bucket for each character's class. Unlike
# every prior batch in this file, these are not "verified by general knowledge" — each one is
# confirmed PRESENT in that exact spec's own real spellbook export, the strongest evidence tier
# this file uses. Still hand-reviewed one class at a time before writing, not blindly bulk-applied:
# 15 candidates were caught and excluded as spec-history contamination (a real character's
# spellbook includes any spec ever played, not just their current one — same pattern documented
# throughout this file) or generic cross-class noise (Recuperate, a food/rest spell on all 13
# classes) — see wow:diff-spellbook Direction D output for the excluded list, and CLAUDE.md's
# "Two stacked bugs" / MISSING_AVAILABILITY session notes for the full trace. This closes the gap
# where a no-cooldown baseline ability (Shred, Ferocious Bite, Entangling Roots, etc.) was
# structurally invisible everywhere on the site — the existing explicitBaselineCooldownAbilityIds()
# safety valve only ever surfaced baseline spells with a 10s+ cooldown or a Sleep/Disorient
# mechanic, which excludes most filler/core-rotation abilities entirely.
185358 | hunter | beast-mastery | Arcane Shot
186257 | hunter | beast-mastery | Aspect of the Cheetah
186265 | hunter | beast-mastery | Aspect of the Turtle
75 | hunter | beast-mastery | Auto Shot
272651 | hunter | beast-mastery | Command Pet
781 | hunter | beast-mastery | Disengage
109304 | hunter | beast-mastery | Exhilaration
5384 | hunter | beast-mastery | Feign Death
1543 | hunter | beast-mastery | Flare
257284 | hunter | beast-mastery | Hunter's Mark
56641 | hunter | beast-mastery | Steady Shot
1449 | mage | frost | Arcane Explosion
1459 | mage | frost | Arcane Intellect
1953 | mage | frost | Blink
120 | mage | frost | Cone of Cold
190336 | mage | frost | Conjure Refreshment
319836 | mage | frost | Fire Blast
414658 | mage | frost | Ice Cold
66 | mage | frost | Invisibility
5019 | mage | frost | Shoot
80353 | mage | frost | Time Warp
# Rake's conditional while-stealthed stun bonus (real spell_id 163505, mechanic=Stun) — a
# separate record from Rake's own base Bleed spell_id (155722), see cc-synergies-overrides.txt's
# note on this same spell_id for the full misclassification trace. Feral-only: the stun requires
# being stealthed (Prowl), a Feral-exclusive mechanic.
163505 | druid | feral | Rake (While Stealthed)
106951 | druid | feral | Berserk
1850 | druid | feral | Dash
193753 | druid | feral | Dreamwalk
339 | druid | feral | Entangling Roots
22568 | druid | feral | Ferocious Bite
6795 | druid | feral | Growl
33917 | druid | feral | Mangle
1126 | druid | feral | Mark of the Wild
8921 | druid | feral | Moonfire
5215 | druid | feral | Prowl
20484 | druid | feral | Rebirth
8936 | druid | feral | Regrowth
5221 | druid | feral | Shred
77758 | druid | feral | Thrash
5176 | druid | feral | Wrath
355897 | priest | discipline | Inner Light
1706 | priest | discipline | Levitate
453 | priest | discipline | Mind Soothe
2096 | priest | discipline | Mind Vision
21562 | priest | discipline | Power Word: Fortitude
17 | priest | discipline | Power Word: Shield
186263 | priest | discipline | Shadow Mend
589 | priest | discipline | Shadow Word: Pain
5019 | priest | discipline | Shoot
585 | priest | discipline | Smite
8676 | rogue | assassination | Ambush
185311 | rogue | assassination | Crimson Vial
1725 | rogue | assassination | Distract
196819 | rogue | assassination | Eviscerate
1804 | rogue | assassination | Pick Lock
6770 | rogue | assassination | Sap
114018 | rogue | assassination | Shroud of Concealment
315496 | rogue | assassination | Slice and Dice
2983 | rogue | assassination | Sprint
115191 | rogue | assassination | Stealth
381623 | rogue | assassination | Thistle Tea
1856 | rogue | assassination | Vanish
317920 | paladin | holy | Concentration Aura
26573 | paladin | holy | Consecration
32223 | paladin | holy | Crusader Aura
465 | paladin | holy | Devotion Aura
642 | paladin | holy | Divine Shield
19750 | paladin | holy | Flash of Light
391054 | paladin | holy | Intercession
471195 | paladin | holy | Lay on Hands
85673 | paladin | holy | Word of Glory
443454 | shaman | restoration | Ancestral Swiftness
6196 | shaman | restoration | Far Sight
470411 | shaman | restoration | Flame Shock
2645 | shaman | restoration | Ghost Wolf
5394 | shaman | restoration | Healing Stream Totem
8004 | shaman | restoration | Healing Surge
188196 | shaman | restoration | Lightning Bolt
192106 | shaman | restoration | Lightning Shield
73899 | shaman | restoration | Primal Strike
462854 | shaman | restoration | Skyfury
444995 | shaman | restoration | Surging Totem
457481 | shaman | restoration | Tidecaller's Guard
6673 | warrior | arms | Battle Shout
446035 | warrior | arms | Bladestorm
100 | warrior | arms | Charge
281000 | warrior | arms | Execute
1715 | warrior | arms | Hamstring
57755 | warrior | arms | Heroic Throw
1464 | warrior | arms | Slam
355 | warrior | arms | Taunt
1680 | warrior | arms | Whirlwind

# Excluded from the batch above after review, logged here so a future pass doesn't re-add them
# blindly: Recuperate (1231411, all 8 classes — generic food/rest spell, not a real class ability).
# Druid/Feral: Celestial Alignment (194223), Solar Eclipse (1233346) — both Balance's own eclipse
# mechanic, present only via this character's Balance spec history. Warrior/Arms: Shield Block
# (2565), Shield Slam (23922) — Protection's mitigation kit, spec-history contamination. Paladin/
# Holy: Shield of the Righteous (53600), Hand of Reckoning (62124), Templar Strike (407480) —
# Protection's mitigation/taunt kit, same contamination pattern.

# Druid, added 2026-08-14. The Direction D batch above only ever confirmed these 8 for Feral
# (the one spec we have a real snapshot for) — but each is genuinely all-4-spec, class-wide
# baseline with no spec-specific mechanic behind it (utility/CC/heal/rez spells any Druid spec
# can cast), same confidence tier as Hammer of Justice/Freezing Trap above. Extended to
# Balance/Guardian/Restoration on general knowledge, not further snapshot evidence. Deliberately
# NOT extending Shred/Ferocious Bite/Prowl/Mangle/Thrash/Growl/Berserk from that same batch —
# those are genuinely Cat-Form/Bear-Form-flavored (Berserk 106951 specifically confirmed
# Feral-only, distinct from Guardian's own separate Berserk copy 50334) and stay Feral-only
# pending real evidence for the other specs.
339 | druid | balance | Entangling Roots
339 | druid | guardian | Entangling Roots
339 | druid | restoration | Entangling Roots
8936 | druid | balance | Regrowth
8936 | druid | guardian | Regrowth
8936 | druid | restoration | Regrowth
5176 | druid | balance | Wrath
5176 | druid | guardian | Wrath
5176 | druid | restoration | Wrath
8921 | druid | balance | Moonfire
8921 | druid | guardian | Moonfire
8921 | druid | restoration | Moonfire
1126 | druid | balance | Mark of the Wild
1126 | druid | guardian | Mark of the Wild
1126 | druid | restoration | Mark of the Wild
20484 | druid | balance | Rebirth
20484 | druid | guardian | Rebirth
20484 | druid | restoration | Rebirth
1850 | druid | balance | Dash
1850 | druid | guardian | Dash
1850 | druid | restoration | Dash
193753 | druid | balance | Dreamwalk
193753 | druid | guardian | Dreamwalk
193753 | druid | restoration | Dreamwalk

# New evidence source, 2026-08-14: real arena match cast data (wowarenalogs.com), not a
# spellbook_snapshots export — see arena-log-api.md + CLAUDE.md's "arena log spell diff"
# discussion for the mechanism (wow:extract-arena-spells / wow:diff-arena-spells). A player
# actually casting a spell in a real ranked match is the same tier of evidence as a real
# spellbook export for the purpose of this file — confirmed correct by the user, spell by
# spell, before being added here (same discipline as every other batch in this file).
# Match f3026e050f7c7833099b62bd33255ec5 (3v3, RMD vs MHunterLock).
#
# Rogue/Subtlety — 5 new spells never previously tagged to any spec for Subtlety:
1776 | rogue | subtlety | Gouge
5277 | rogue | subtlety | Evasion
57934 | rogue | subtlety | Tricks of the Trade
282449 | rogue | subtlety | Secret Technique
441776 | rogue | subtlety | Coup de Grace
# Rogue/Subtlety — 8 more spells already tagged verified_override/baseline for Assassination
# or Outlaw specifically, but confirmed here to ALSO be used by Subtlety — same
# under-scoped-to-one-spec pattern already documented for Freezing Trap above (a spell that's
# genuinely multi-spec only had one spec's evidence recorded). These lines ADD Subtlety
# alongside the existing spec tags, they do not replace or narrow anything already there.
1856 | rogue | subtlety | Vanish
2094 | rogue | subtlety | Blind
2983 | rogue | subtlety | Sprint
5938 | rogue | subtlety | Shiv
6770 | rogue | subtlety | Sap
115191 | rogue | subtlety | Stealth
185311 | rogue | subtlety | Crimson Vial
196819 | rogue | subtlety | Eviscerate

# Warlock/Affliction — 13 spells never previously tagged to any spec for Affliction, from the
# same match, including the spec's own signature abilities (Corruption, Fear). One entry
# (Spell Lock) carries a "(desc=Command Demon Ability)" name suffix — that pattern usually
# flags pet-ability noise elsewhere in this project (see CLAUDE.md's baseline-ability
# section), so it was called out specifically before adding; confirmed correct anyway.
172 | warlock | affliction | Corruption
1714 | warlock | affliction | Curse of Tongues
5484 | warlock | affliction | Howl of Terror
5782 | warlock | affliction | Fear
6789 | warlock | affliction | Mortal Coil
104773 | warlock | affliction | Unending Resolve
108416 | warlock | affliction | Dark Pact
111771 | warlock | affliction | Demonic Gateway
119910 | warlock | affliction | Spell Lock (desc=Command Demon Ability)
198590 | warlock | affliction | Drain Soul
334275 | warlock | affliction | Curse of Exhaustion
385899 | warlock | affliction | Soulburn
452930 | warlock | affliction | Demonic Healthstone

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Death Knight/Unholy, real arena-log cast evidence (see arena-log-api.md).
43265 | deathknight | unholy | Death and Decay
45524 | deathknight | unholy | Chains of Ice
47528 | deathknight | unholy | Mind Freeze
47541 | deathknight | unholy | Death Coil
48743 | deathknight | unholy | Death Pact
48792 | deathknight | unholy | Icebound Fortitude
49039 | deathknight | unholy | Lichborne
49576 | deathknight | unholy | Death Grip
51052 | deathknight | unholy | Anti-Magic Zone
207167 | deathknight | unholy | Blinding Sleet
444347 | deathknight | unholy | Death Charge
458128 | deathknight | unholy | Festering Scythe
1242174 | deathknight | unholy | Necrotic Coil

# Added via wow:diff-arena-spells --apply, 2026-08-14 — Death Knight/Frost, real arena-log cast evidence (see arena-log-api.md).
43265 | deathknight | frost | Death and Decay
45524 | deathknight | frost | Chains of Ice
47528 | deathknight | frost | Mind Freeze
48265 | deathknight | frost | Death's Advance
48743 | deathknight | frost | Death Pact
49998 | deathknight | frost | Death Strike
